fraction_of_joint_limit,qpos_m,physical_min_x_m,physical_min_y_m,physical_min_z_m,physical_max_x_m,physical_max_y_m,physical_max_z_m,physical_extent_x_m,physical_extent_y_m,physical_extent_z_m,proxy_min_x_m,proxy_min_y_m,proxy_min_z_m,proxy_max_x_m,proxy_max_y_m,proxy_max_z_m,proxy_extent_x_m,proxy_extent_y_m,proxy_extent_z_m,outside_proxy_neg_x_m,outside_proxy_neg_y_m,outside_proxy_neg_z_m,outside_proxy_pos_x_m,outside_proxy_pos_y_m,outside_proxy_pos_z_m,aabb_iou
0.0,0.0,-0.11687994748353958,-0.025680452585220337,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.2426849603652954,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.010344957585220318,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.35977333247449333
0.05,0.008910000324249268,-0.11687994748353958,-0.03459044545888901,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.2515949532389641,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.01925495045888899,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.3510115495847814
0.1,0.017820000648498535,-0.11687994748353958,-0.04350043833255768,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.26050494611263275,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.02816494333255766,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.34266638283939843
0.15000000000000002,0.026730000972747806,-0.11687994748353958,-0.05241044610738754,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.2694149538874626,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.037074951107387524,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.3347087946150519
0.2,0.03564000129699707,-0.11687994748353958,-0.06132045388221741,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.2783249616622925,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.04598495888221739,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.3271124093635433
0.25,0.04455000162124634,-0.11687994748353958,-0.07023045420646667,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.28723496198654175,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.054894959206466656,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.319853185733635
0.30000000000000004,0.05346000194549561,-0.11687994748353958,-0.07914045453071594,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.296144962310791,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.06380495953071592,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.31290915826577714
0.35000000000000003,0.06237000226974488,-0.11687994748353958,-0.08805045485496521,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3050549626350403,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.07271495985496519,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.30626023440056
0.4,0.07128000259399414,-0.11687994748353958,-0.09696047008037567,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.31396497786045074,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.08162497508037565,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2998879833763854
0.45,0.08019000291824341,-0.11687994748353958,-0.10587048530578613,0.8428557515144348,0.31903374195098877,0.21700450778007507,1.0735267400741577,0.43591368943452835,0.3228749930858612,0.2306709885597229,-0.02134245500000001,-0.015335495000000018,0.741,0.22134245500000002,0.21533549500000004,1.17691365,0.24268491000000003,0.23067099000000008,0.43591364999999993,0.09553749248353957,0.09053499030578611,0.0,0.09769128695098875,0.0016690127800750298,0.0,0.2937754979556471
