query_index,requested_qpos_m,basket_offset_x_m,basket_offset_y_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,qvel_norm_m_s,oracle_contact,oracle_penetration,min_separation_m
1,0.0675,-0.42,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
2,0.0675,-0.39999999999999997,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
3,0.0675,-0.38,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
4,0.0675,-0.36,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
5,0.0675,-0.33999999999999997,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
6,0.0675,-0.31999999999999995,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
7,0.0675,-0.3,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
8,0.0675,-0.27999999999999997,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
9,0.0675,-0.26,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
10,0.0675,-0.24,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
11,0.0675,-0.21999999999999997,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
12,0.0675,-0.19999999999999998,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
13,0.0675,-0.18,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
14,0.0675,-0.15999999999999998,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
15,0.0675,-0.13999999999999996,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
16,0.0675,-0.12,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
17,0.0675,-0.09999999999999998,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
18,0.0675,-0.07999999999999996,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
19,0.0675,-0.06,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
20,0.0675,-0.03999999999999998,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
21,0.0675,-0.019999999999999962,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
22,0.0675,0.0,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
23,0.0675,0.020000000000000018,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
24,0.0675,0.040000000000000036,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
25,0.0675,0.06,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
26,0.0675,0.08000000000000002,-0.34,0.06750000268220901,0.06750000268220901,0.06750000268220901,2.682209010451686e-09,5.77415990078659e-18,False,False,
